Bottle_ID,CO2_dry
1,798.1914063508195
2,807.2388088294385
3,391.30605031135417
4,399.5306738030804
5,407.0527557580817
6,401.5412941876083
7,403.08825054200275
8,413.35824544383127
9,805.5490240326694
10,804.5930779005457
11,400.2689675420559
12,816.1936281448011
13,417.6837019046222
14,809.3100835262264
15,807.8444614306677
16,401.87847450851604
17,390.0240811582326
18,400.6079887912942
19,413.5750279020124
20,401.80090700034015
21,400.30465761567046
22,406.676269659521
23,390.49101883668334
24,806.8094391078063
25,817.9944589683803
26,403.0484176551189
27,399.57209790624563
28,811.0902291726092
29,805.9569716975996
30,400.67101965388713
31,806.6917643208662
32,805.2646013098674
33,805.6725677565137
34,805.7284689396154
35,808.3055093557002
36,400.8003365798129
37,802.1964319732738
38,814.6699822450586
39,816.2521645761756
40,802.7083573471682
